"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"S1.F.1.U",105,87,27,8068,266,-55,321,195,-4,207,-4,747,134,5,77,399,19,354,19
"S2.F.U",22,116,32,8351,191,-167,358,116,-90,127,-90,433,104,3,88,252,11,239,11
"S3.F.U",15,111,31,8238,181,-167,348,108,-96,118,-96,426,99,2,90,248,10,241,10
"S4.F.U",43,124,32,9045,225,-159,384,144,-80,156,-80,329,80,2,90,193,8,184,8
"S6.F.U",75,138,32,10124,277,-152,429,187,-64,200,-64,206,53,2,86,121,7,112,7
"S7.F.U",82,142,32,10519,291,-152,443,198,-62,212,-62,175,53,1,96,107,6,95,6
"S9.F.U",52,137,32,9831,250,-170,420,161,-82,173,-82,247,57,1,91,144,4,143,4
"S10.F.U",45,135,32,9650,239,-174,413,164,-87,164,-87,273,62,1,93,160,4,160,4
"S13.F.U",50,143,33,9910,251,-178,429,171,-85,171,-85,218,51,1,93,133,4,133,4
"S14.F.U",61,147,33,10237,268,-173,441,186,-79,186,-79,177,42,1,95,107,4,107,4
"S16.F.U",61,148,33,10264,269,-176,445,185,-80,185,-80,164,40,1,97,102,4,102,4
"S18.F.U",76,154,33,10449,289,-166,455,202,-68,202,-68,133,32,1,88,81,5,81,5
"S19.F.U",77,153,33,10548,291,-165,456,204,-68,204,-68,123,30,1,90,76,5,76,5
"S20.F.U",81,151,32,10703,296,-162,458,210,-67,210,-67,109,26,1,87,67,4,67,4
"S21.F.U",80,149,32,10782,295,-162,457,210,-69,210,-69,105,25,1,94,65,3,65,3
"S22.F.U",83,149,32,10821,298,-159,457,213,-66,213,-66,100,23,1,88,62,3,62,3
"S24.F.U",55,142,32,10323,260,-175,435,180,-71,180,-86,138,32,1,94,87,5,87,5
"S25.F.U",80,141,31,10741,290,-153,443,209,-51,209,-68,94,21,1,88,56,5,56,5
"S26.F.U",79,139,31,10710,287,-152,439,208,-52,208,-68,94,21,1,87,56,5,56,5
"S27.F.U",69,131,30,10745,274,-154,428,199,-6,199,-77,103,24,1,89,64,6,64,6
"S29.F.U",55,132,30,10690,259,-167,426,185,-75,185,-90,106,26,1,97,68,4,68,5
"S30.F.U",61,135,31,10745,268,-163,431,192,-70,192,-84,90,21,1,87,56,4,56,5
"S31.F.U",69,140,31,10861,281,-158,439,200,-64,200,-79,70,15,1,81,41,4,41,4
"S32.F.U",79,144,31,11121,297,-154,451,213,-57,213,-73,56,12,1,71,31,4,31,4
"S37.F.U",89,154,31,12106,326,-163,489,236,-1,236,-75,47,12,1,87,28,3,28,4
"S40.F.U",87,158,33,11386,317,-158,475,225,2,225,-69,44,12,1,89,28,3,28,3
"S41.F.U",92,160,33,11371,323,-154,477,230,8,230,-64,41,12,1,84,26,3,26,3
"S42.F.U",93,161,33,11312,324,-154,478,230,-25,230,-62,37,11,1,77,24,3,24,3
