"","long","lat"
"S1.F.1.U",103.153792,36.972767
"S2.F.U",103.0005278,37.08483333
"S3.F.U",102.8605,37.27247222
"S4.F.U",102.9175,37.36797222
"S6.F.U",102.70825,37.76855556
"S7.F.U",102.8484722,37.85094444
"S9.F.U",101.9760556,38.25661111
"S10.F.U",101.7806667,38.28872222
"S13.F.U",101.13225,38.53413889
"S14.F.U",101.1123056,38.71188889
"S16.F.U",100.8059722,38.84702778
"S18.F.U",100.4384444,38.97580556
"S19.F.U",100.273,39.09327778
"S20.F.U",100.0218333,39.1965
"S21.F.U",99.96336111,39.33891667
"S22.F.U",99.82055556,39.38719444
"S24.F.U",99.21472222,39.31158333
"S25.F.U",98.95227778,39.51302778
"S26.F.U",98.69702778,39.61347222
"S27.F.U",98.32625,39.77958333
"S29.F.U",97.86005556,39.87008333
"S30.F.U",97.64266667,39.96505556
"S31.F.U",97.23936111,40.13233333
"S32.F.U",97.05002778,40.33758333
"S37.F.U",95.80538889,40.51913889
"S40.F.U",94.91008333,40.14561111
"S41.F.U",94.70477778,40.14233333
"S42.F.U",94.62688889,40.08986111
